#MJD mag magerr flux fluxerr
59079.2140276854 -0.3491248222 0.0314367853 1.3792720286 0.0399372558
59079.2140392731 -0.3490179863 0.0314335259 1.3791363156 0.0399291859
59079.2140508607 -0.3565848567 0.0316559448 1.3887815642 0.040492947
59079.2140624484 -0.3163349322 0.0317126668 1.3382398955 0.0390892105
59079.2140740361 -0.3566432716 0.0316531864 1.3888562855 0.040491597
59079.2140856238 -0.3746450274 0.0315976364 1.4120758025 0.0410963045
59079.2140972115 -0.3424380102 0.0313067953 1.3708034983 0.0395279216
59079.2141087992 -0.3351431086 0.0313423438 1.3616241435 0.0393078125
59079.2141203869 -0.3400315803 0.0310658379 1.3677686086 0.0391368499
59079.2145012153 -0.3096348934 0.0311921222 1.3300070938 0.0382110563
59079.214512803 -0.3576316398 0.0312980641 1.3901211658 0.0400737785
59079.2145243906 -0.3483493674 0.0311430473 1.3782872763 0.039535844
59079.2145359783 -0.3544923478 0.0311901488 1.386107582 0.0398203019
59079.214547566 -0.3653872848 0.0315476362 1.4000866479 0.0406828997
59079.2145591537 -0.3055138524 0.0309974015 1.324968462 0.037828663
59079.2145707414 -0.3619127003 0.0314438684 1.3956132375 0.0404195256
59079.2145823291 -0.3252791887 0.0313289839 1.3493098026 0.0389357144
59079.2145939168 -0.3380364415 0.0311101316 1.3652575176 0.0391206972
59079.2146055044 -0.378290368 0.0315852756 1.4168247905 0.0412183859
59079.2146170921 -0.3513816773 0.0313730155 1.382142021 0.0399391758
59079.2146286798 -0.3940346103 0.0318874693 1.4375198293 0.0422205669
59079.2146402675 -0.3368543768 0.0316494918 1.3637719408 0.0397556312
59079.2146518552 -0.3423423358 0.0318585633 1.3706827093 0.0402210389
59079.2146634429 -0.3212318412 0.031581646 1.3442892835 0.0391036827
59079.2146750306 -0.3369640982 0.0316552556 1.3639097667 0.0397668898
59079.2146866182 -0.331126135 0.0316813511 1.3565957558 0.0395862453
59079.2146982059 -0.3855571517 0.0320664263 1.4263393399 0.0421272961
59079.2147097936 -0.361721814 0.0316703882 1.3953678925 0.0407035487
59079.2147213813 -0.3465302388 0.0310954612 1.3759799179 0.039409349
59079.214732969 -0.3634542179 0.0316922456 1.3975961228 0.0407966837
59079.2147445567 -0.3438650839 0.0312005375 1.3726064443 0.0394455732
59079.2147561443 -0.3402857326 0.0315975167 1.3680888174 0.0398159798
59079.214767732 -0.3359104089 0.0320626478 1.3625867566 0.0402396051
59079.2147793197 -0.3329584237 0.0313690233 1.35888708 0.0392621908
