#MJD mag magerr flux fluxerr
59079.2134034438 2.6459085123 0.0156229609 0.0874251921 0.0012580274
59079.2134150251 2.6418728092 0.0156154692 0.0877507579 0.0012621067
59079.2134266063 2.6716304991 0.0158025936 0.0853783584 0.0012427001
59079.2134381876 2.665013916 0.0157583477 0.0859002512 0.0012467956
59079.2134497689 2.6393340662 0.0155459116 0.0879561829 0.0012594262
59079.2134613502 2.6566285666 0.0157282641 0.0865662438 0.0012540635
59079.2134729315 2.6519184289 0.0157876543 0.086942601 0.0012642716
59079.2134845128 2.6714804902 0.0157286954 0.0853901554 0.0012370597
59079.2134960941 2.6499064421 0.0154741582 0.0871038644 0.0012414654
59079.2135076753 2.6546100956 0.0156464095 0.0867273271 0.0012498584
59079.2135192566 2.6646473336 0.0157139695 0.085929259 0.0012437043
59079.2135308379 2.6625771289 0.0156118489 0.0860932591 0.0012379801
59079.2135424192 2.6449796203 0.0155048319 0.0875000199 0.0012495838
59079.2135540005 2.6770110773 0.0157724746 0.0849562959 0.0012342001
59079.2135655818 2.6564639629 0.0156390353 0.0865793687 0.0012471381
59079.213577163 2.6616664483 0.0155942503 0.0861655016 0.0012376222
59079.2135887443 2.6460188994 0.0154924505 0.087416304 0.0012473913
59079.2136003256 2.6618676203 0.0157233443 0.0861495378 0.0012476364
59079.2136119069 2.6551154177 0.0155575795 0.0866869719 0.0012421843
59079.2136234882 2.6548075597 0.0156404585 0.0867115553 0.0012491558
59079.2136350695 2.6575810038 0.0156005846 0.0864903388 0.0012427925
59079.2136466508 2.6463686215 0.0155291039 0.0873881512 0.0012499398
59079.213658232 2.6543056031 0.0155662511 0.086751653 0.001243804
59079.2136698133 2.6556822429 0.0155969402 0.0866417275 0.001244677
59079.2136813946 2.6605720473 0.0156123197 0.0862523986 0.0012403058
59079.2136929759 2.6485384847 0.015542106 0.0872136788 0.0012484888
59079.2137045572 2.6549050656 0.0155285841 0.0867037684 0.0012401094
59079.2137161385 2.6609048651 0.0156686315 0.0862259631 0.0012443979
59079.2137277197 2.654641493 0.0156295238 0.0867248191 0.0012484735
59079.213739301 2.6606982583 0.0156697692 0.0862423728 0.0012447251
59079.2137508823 2.6365247902 0.0154470693 0.0881840588 0.0012546608
59079.2137624636 2.6656021713 0.0156275615 0.0858537227 0.0012357781
59079.2137740449 2.6498411956 0.0155135451 0.087109099 0.0012447001
59079.2137856262 2.6570448298 0.0155987157 0.0865330613 0.0012432575
59079.2137972074 2.6408181775 0.0154852697 0.0878360362 0.0012527998
59079.2138087887 2.6375304125 0.0154332906 0.0881024194 0.0012523812
59079.21382037 2.6529514628 0.0155858675 0.086859918 0.0012469256
59079.2138319513 2.6659493839 0.0156902822 0.0858262716 0.0012403412
59079.2138435326 2.6674652173 0.0158101031 0.0857065302 0.0012480695
59079.2138551139 2.6552424467 0.0155544157 0.0866768303 0.0012417864
59079.2138666952 2.6465400736 0.0155320274 0.0873743525 0.0012499777
59079.2138782764 2.6533951791 0.0156880684 0.0868244275 0.0012545893
59079.2138898577 2.6521009726 0.0156244286 0.0869279846 0.0012509902
59079.213901439 2.6740992178 0.0157839922 0.0851844479 0.0012384182
59079.2139130203 2.6681837607 0.0156656349 0.0856498281 0.0012358469
59079.2139246016 2.6743307395 0.0157302798 0.0851662851 0.0012339408
59079.2139361829 2.6562831976 0.0155866156 0.0865937846 0.0012431648
59079.2139477642 2.660506871 0.0156898079 0.0862575764 0.0012465366
59079.2139593454 2.6730319377 0.0157490687 0.0852682255 0.0012368934
59079.2139709267 2.6579035536 0.0156725845 0.0864646482 0.0012481574
59079.213982508 2.6493083553 0.0154964654 0.0871518595 0.0012439401
59079.2139940893 2.6497477107 0.0156605355 0.0871165997 0.0012566018
59079.2140056706 2.6801247032 0.0159663573 0.0847130111 0.0012457937
59079.2140172519 2.6676840965 0.0158155791 0.0856892539 0.0012482501
59079.2140288331 2.6518603218 0.0155712097 0.0869472542 0.0012470056
59079.2140404144 2.6528992932 0.0156149592 0.0868640917 0.0012493131
59079.2140519957 2.648627944 0.0156235278 0.0872064931 0.0012549259
59079.214063577 2.6647653214 0.0155974049 0.0859199215 0.0012343445
59079.2140751583 2.656428043 0.0157092603 0.0865822331 0.0012527796
59079.2144742477 2.6588460042 0.0156780584 0.0863896269 0.00124751
59079.214485829 2.6679478798 0.01571996 0.0856684379 0.001240402
59079.2144974103 2.6656777983 0.0157080815 0.0858477428 0.0012420589
59079.2145089915 2.6485772409 0.0155066933 0.0872105657 0.0012455996
59079.2145205728 2.6541907201 0.0155688654 0.0867608328 0.0012441445
59079.2145321541 2.6590777263 0.0156440549 0.0863711912 0.0012445387
59079.2145437354 2.6624008381 0.0156943733 0.0861072392 0.0012447261
59079.2145553167 2.6818264833 0.0158190892 0.0845803361 0.0012323698
59079.214566898 2.6599315142 0.0156383913 0.0863032984 0.0012431102
59079.2145784793 2.6570237592 0.0156387114 0.0865347406 0.0012464694
59079.2145900605 2.6670254828 0.0157985571 0.0857412492 0.0012476633
59079.2146016418 2.6624183103 0.0156083102 0.0861058535 0.0012378805
59079.2146132231 2.6618517834 0.0156090993 0.0861507944 0.0012385892
59079.2146248044 2.6614898855 0.0157262185 0.086179515 0.0012482987
59079.2146363857 2.6481951269 0.0156282805 0.087241264 0.0012558082
59079.214647967 2.6635609761 0.0156769757 0.0860152804 0.0012420185
59079.2146595482 2.6568443374 0.0157013335 0.086549042 0.0012516675
59079.2146711295 2.6544897932 0.0156518814 0.0867369372 0.0012504341
59079.2146827108 2.6674133162 0.0157694806 0.0857106273 0.0012449222
59079.2146942921 2.6527936574 0.0155269747 0.0868725435 0.0012423946
59079.2147058734 2.6901516815 0.0159472848 0.0839342719 0.001232867
59079.2147174547 2.6601910639 0.0157197284 0.0862826697 0.0012492771
59079.2147290359 2.6716798443 0.0158383414 0.0853744782 0.0012454547
59079.2147406172 2.6559484659 0.0156227347 0.0866204855 0.0012464298
59079.2147521985 2.6614512193 0.0156369629 0.0861825842 0.0012412581
59079.2147637798 2.6727671335 0.0159912562 0.0852890244 0.0012562205
59079.2147753611 2.6786702637 0.0159811367 0.0848265677 0.0012486184
59079.2147869424 2.6532679763 0.0155888757 0.0868346003 0.0012468028
59079.2147985237 2.6285188527 0.0153155607 0.0888367085 0.001253186
59079.2148101049 2.6268302913 0.0152871879 0.0889749768 0.0012528113
59079.2148216862 2.6493612065 0.0155903512 0.0871476173 0.0012514156
59079.2148332675 2.6477525957 0.0155219968 0.0872768296 0.0012477762
59079.2148448488 2.6666626421 0.0156524564 0.0857699078 0.0012365384
59079.2148564301 2.6510174222 0.0156305396 0.0870147809 0.0012527291
59079.2148680114 2.6432989776 0.0154776276 0.0876355686 0.0012493237
59079.2148795926 2.6461033732 0.0155227447 0.087409503 0.0012497333
59079.2148911739 2.6685599924 0.0157537843 0.0856201537 0.0012423703
59079.2149027552 2.6515395915 0.0155501046 0.0869729425 0.0012456833
59079.2149143365 2.6452535068 0.0154573279 0.0874779501 0.0012454411
59079.2149259178 2.6379874603 0.0153943487 0.0880653399 0.0012486954
59079.2149374991 2.650034003 0.0155459085 0.0870936314 0.0012470753
59079.2149490804 2.6460791982 0.0154900779 0.0874114492 0.001247131
59079.2149606616 2.6456049442 0.0153720683 0.0874496393 0.0012381706
59079.2149722429 2.6647575024 0.0157124419 0.0859205402 0.0012434572
59079.2149838242 2.6537325184 0.0155320546 0.0867974553 0.0012417268
59079.2149954055 2.6532885923 0.0155947256 0.0868329515 0.001247247
59079.2150069868 2.6445491783 0.0155682285 0.0875347163 0.0012551906
59079.2150185681 2.6290580172 0.015455584 0.0887926041 0.0012640154
59079.2150301493 2.6238556224 0.0152926126 0.0892190821 0.0012566942
59079.2150417306 2.6203187172 0.0152693146 0.089510197 0.0012588739
59079.2150533119 2.6623220611 0.0156055458 0.086113487 0.001237771
59079.2150648932 2.6458670638 0.0155849554 0.0874285296 0.001255015
59079.2150764745 2.6382149918 0.0154445937 0.0880468865 0.0012525084
59079.2150880558 2.6547077558 0.0156528138 0.0867195265 0.0012502575
59079.2150996371 2.6535729211 0.0155764469 0.0868102149 0.0012454589
59079.2151112183 2.6355343258 0.0155280464 0.0882645415 0.0012623891
59079.2151227996 2.6579818276 0.0156568656 0.0864584149 0.0012468157
59079.2151343809 2.6676731933 0.0156976759 0.0856901144 0.001238957
59079.2151459622 2.6408265574 0.0154391712 0.0878353583 0.0012490606
59079.2151575435 2.6385534574 0.0155389553 0.0880194432 0.0012597681
59079.2151691248 2.6567169271 0.015662451 0.086559199 0.0012487144
59079.2151807061 2.6565617746 0.0157107273 0.0865715693 0.0012527423
59079.2151922873 2.6558502874 0.0156529392 0.0866283186 0.0012489526
59079.2152038686 2.638004246 0.0155736841 0.0880639785 0.0012632224
59079.2152154499 2.6508090521 0.0154527999 0.0870314821 0.0012387216
59079.2152270312 2.631856864 0.0153560192 0.0885640064 0.0012526394
59079.2152386125 2.642834888 0.0154818099 0.0876730358 0.0012501955
59079.2152501938 2.6473176516 0.0155172078 0.0873117995 0.0012478911
59079.215261775 2.6438692034 0.0155862962 0.0875895547 0.0012574346
59079.2152733563 2.6478938283 0.0155192192 0.0872654774 0.0012473907
59079.2152849376 2.6630795567 0.0156260382 0.0860534284 0.001238532
59079.2152965189 2.6551261468 0.0156397574 0.0866861153 0.0012487334
59079.2153081002 2.6526931943 0.0156364298 0.0868805822 0.0012512684
59079.2153196815 2.6537826751 0.0155769772 0.0867934456 0.0012452607
59079.2153312627 2.6358680759 0.0154479614 0.0882374136 0.0012554925
59079.215342844 2.6416103581 0.0154524955 0.0877719722 0.0012492364
59079.2153544253 2.6367056358 0.0154475939 0.0881693716 0.0012544945
59079.2153660066 2.6556130351 0.0156239754 0.0866472505 0.001246914
59079.2153775879 2.6468747408 0.0155261945 0.0873474244 0.0012491232
59079.2153891692 2.6438972888 0.0155642298 0.087587289 0.0012556219
59079.2154007505 2.6512181377 0.0156908312 0.0869986964 0.0012573288
59079.2154123317 2.6427066374 0.0155243664 0.0876833926 0.0012537802
59079.215423913 2.6279644746 0.0154418575 0.0888820802 0.0012641654
59079.2154354943 2.6411683657 0.0154871962 0.0878077105 0.0012525516
59079.2154470756 2.6343018274 0.0154590454 0.0883647939 0.001258207
59079.2154586569 2.6283329757 0.0152232223 0.0888519185 0.0012458437
59079.2154702382 2.6539850409 0.0156154594 0.0867772701 0.0012481044
59079.2154818194 2.6351959544 0.0153995639 0.0882920536 0.0012523341
59079.2154934007 2.6346797204 0.015324204 0.0883340437 0.0012467983
59079.215504982 2.6292863305 0.0152878914 0.0887739344 0.001250038
59079.2155165633 2.6246229807 0.0152702795 0.0891560477 0.0012539723
59079.2155281446 2.6369954946 0.0154568149 0.0881458362 0.0012549082
59079.2155397259 2.6378883138 0.0154260572 0.0880733822 0.0012513816
59079.2155513072 2.6337479824 0.0153112246 0.0884098812 0.0012468118
59079.2155628884 2.6372041165 0.015553619 0.0881289008 0.001262525
59079.2155744697 2.6251468213 0.0153893728 0.0891130425 0.0012631425
59079.215586051 2.6293131572 0.0152977134 0.0887717409 0.0012508102
59079.2155976323 2.6371196411 0.0154053705 0.0881357579 0.0012505886
59079.2156092136 2.6225751627 0.015408464 0.0893243645 0.0012677086
59079.2156207949 2.6417937814 0.0155093004 0.0877571453 0.001253617
59079.215641956 2.6255328136 0.0153282391 0.0890813673 0.0012576775
59079.2156535373 2.6104646178 0.0152341382 0.0903262859 0.0012674248
59079.2156651186 2.6357898207 0.0154082531 0.0882437736 0.0012523555
59079.2156766999 2.6463742072 0.0154979442 0.0873877016 0.0012474254
59079.2156882812 2.6302717454 0.0153579083 0.0886933996 0.0012546238
59079.2156998624 2.6477393348 0.0155578327 0.0872778956 0.0012506723
59079.2157114437 2.6370236328 0.0155030322 0.0881435518 0.0012586279
59079.215723025 2.6394629155 0.0154743212 0.0879457453 0.0012534777
59079.2157346063 2.6304552732 0.0154079037 0.0886784086 0.0012584953
59079.2157461876 2.6411357209 0.0154819864 0.0878103507 0.0012521679
59079.2157577689 2.6373675924 0.0153907772 0.0881156325 0.0012491186
59079.2157693502 2.6458106297 0.0155398223 0.0874330741 0.0012514456
59079.2157809314 2.6423569933 0.0154808643 0.0877116342 0.0012506695
59079.2157925127 2.6539948896 0.0157112917 0.0867764829 0.0012557526
59079.215804094 2.6513430726 0.0155808838 0.0869886861 0.0012483749
59079.2158156753 2.6333141912 0.0154732095 0.0884452112 0.0012605059
59079.2158272566 2.6270002419 0.0153686127 0.0889610506 0.001259287
59079.2158388379 2.633343282 0.0154313929 0.0884428415 0.0012570657
59079.2158504191 2.6273672625 0.0155140168 0.0889309834 0.0012707716
59079.2158620004 2.6421264103 0.0155971658 0.0877302639 0.0012603329
59079.2158735817 2.6355967553 0.01540508 0.0882594665 0.0012523203
59079.215885163 2.6328353668 0.0155470707 0.0884842254 0.0012670816
59079.2158967443 2.6382549996 0.0154474752 0.0880436422 0.0012526959
59079.2159083256 2.6572233115 0.0156487942 0.0865188375 0.0012470438
59079.2159199068 2.6336875125 0.0154719177 0.0884148053 0.0012599674
59079.2159314881 2.6464888434 0.0155565727 0.0873784754 0.0012520122
59079.2159430694 2.6179024879 0.0152716209 0.0897096175 0.0012618691
59079.2159546507 2.6403882421 0.0154637152 0.0878708248 0.0012515515
59079.215966232 2.6306910167 0.0153704122 0.0886591561 0.0012551605
59079.2159778133 2.6228503734 0.0153148496 0.0893017255 0.0012596873
